writer_id,first_name,last_name
1,Geoff,Johns
2,Brian Michael,Bendis
3,Tom,Taylor
4,Mark,Waid
5,Scott,Snyder
6,Stan,Lee
7,Dan,Slott
8,J. Michael,Straczynski
9,Nick,Spencer
10,Joss,Whedon
11,Jonathan,Hickman
12,Tom,King
13,Jeph,Loeb
14,Frank,Miller
15,Grant,Morrison
16,Paul,Grist
17,Ta-Nehisi,Coates
18,Fabian,Nicieza
19,James,Robinson
20,Ed,Brubaker
21,Kelly Sue,DeConnick
22,Mark,Millar
23,Christos,Gage
24,Chris,Sims
25,Brandon,Thomas
26,Ming,Doyle
27,John,Allison
28,Enrique,Carrion
29,Christina,Strain
30,Dan,Abnett
31,Greg,Pak
32,Al,Ewing
33,Cullen,Bunn
34,Brian,Azzarello
35,Ed,Brisson
36,Gerry,Duggan
37,Zeb,Wells
38,Benjamin,Percy
39,Daniel,Way
40,Duane,Swiercynski
41,Charles,Soule
42,Jeff,Lemire
43,Neil,Gaiman
44,Peter J.,Tomasi
45,Robbie,Thompson
46,Joshua,Williamson
47,Sina,Grace
48,Robert,Kirkman
49,Dennis,Hopeless
50,Bryan,Hitch
51,Dennis,O'Neill
52,Tim,Seeley
53,Terry,Kavanagh
54,Frank,Cho
55,Roger,Stern
56,J.M.,DeMatteis
57,Chip,Zdarsky
58,Kieron,Gillen
59,Rob,Williams
60,Dan,Jurgens
61,Jason,Aaron
62,Rick,Remender
63,Chris,Claremont
64,Alan,Moore
65,Greg,Rucka
66,Marc,Guggenheim
67,Ryan,North
